"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-02,""167"",""1"",""5"",""11:51:06"",""11:54:37"",""211"""
"2023-06-02,""168"",""1"",""5"",""11:53:05"",""11:56:42"",""217"""
"2023-06-02,""169"",""1"",""4"",""11:53:39"",""11:57:13"",""214"""
"2023-06-02,""170"",""1"",""4"",""11:55:45"",""11:58:49"",""184"""
"2023-06-02,""171"",""1"",""5"",""11:56:08"",""11:59:56"",""228"""
"2023-06-02,""172"",""1"",""5"",""11:58:15"",""12:00:42"",""147"""
"2023-06-02,""173"",""1"",""5"",""11:58:38"",""12:05:56"",""438"""
"2023-06-02,""174"",""1"",""5"",""12:08:55"",""12:09:02"",""7"""
"2023-06-02,""175"",""1"",""5"",""12:11:15"",""12:14:50"",""215"""
"2023-06-02,""176"",""1"",""5"",""12:12:06"",""12:16:15"",""249"""
"2023-06-02,""177"",""1"",""5"",""12:13:25"",""12:18:08"",""283"""
"2023-06-02,""178"",""1"",""5"",""12:13:49"",""12:19:13"",""324"""
"2023-06-02,""179"",""1"",""5"",""12:14:43"",""12:19:26"",""283"""
"2023-06-02,""180"",""1"",""3"",""12:18:08"",""12:21:22"",""194"""
"2023-06-02,""181"",""1"",""4"",""12:19:29"",""12:25:54"",""385"""
"2023-06-02,""182"",""1"",""5"",""12:20:54"",""12:26:49"",""355"""
"2023-06-02,""183"",""1"",""5"",""12:23:37"",""12:27:53"",""256"""
"2023-06-02,""184"",""1"",""2"",""12:23:49"",""12:32:30"",""521"""
"2023-06-02,""185"",""1"",""4"",""12:26:41"",""12:32:47"",""366"""
"2023-06-02,""186"",""1"",""3"",""12:27:55"",""12:33:11"",""316"""
"2023-06-02,""187"",""1"",""5"",""12:28:15"",""12:33:47"",""332"""
"2023-06-02,""188"",""1"",""4"",""12:28:35"",""12:33:59"",""324"""
"2023-06-02,""189"",""1"",""4"",""12:29:50"",""12:34:05"",""255"""
"2023-06-02,""190"",""1"",""2"",""12:30:04"",""12:35:18"",""314"""
"2023-06-02,""191"",""1"",""3"",""12:30:31"",""12:35:24"",""293"""
"2023-06-02,""192"",""1"",""2"",""12:30:54"",""12:35:35"",""281"""
"2023-06-02,""193"",""1"",""4"",""12:31:16"",""12:35:53"",""277"""
"2023-06-02,""194"",""1"",""4"",""12:33:07"",""12:37:51"",""284"""
"2023-06-02,""195"",""1"",""3"",""12:35:03"",""12:38:26"",""203"""
"2023-06-02,""196"",""1"",""3"",""12:38:21"",""12:39:18"",""57"""
"2023-06-02,""197"",""1"",""5"",""12:40:02"",""12:41:01"",""59"""
